,,,,,,,,,,
,,,,,,,,,,
,,Coal Miners,,v,,Newcastle United Gunners,Lithgow Stadium,,,0
,,CB Transport Truckers,,v,,The XIII,TWU Stadium,,,0
,,,,,,,,,,0
,ROUND 11,,,,,,,,,0
,,Bondi Wet Sox,,v,,Rocket Scientists,Bondi Beach Pavilion,,,0
,,Oxford United Boxes,,v,,Newcastle United Gunners,Fragile Stadium,,,0
,,Miami Monsters,,v,,CB Transport Truckers,Monster Arena,,,0
,,Coolangatta Cougars,,v,,Liddle Rams,The Cage of Pain,,,0
,,The XIII,,v,,Punters,Hell,,,0
,,MacLaren's Dignoes,,v,,London Werewolves,Lillyfield Rectangle,,,0
2,,Downtown Druggies,,v,,Coal Miners,Crack-Den Stadium,,,0
,,,,,,,,,,0
,ROUND 12,,,,,,,,,0
,,Coal Miners,,v,,Oxford United Boxes,Lithgow Stadium,,,0
,,CB Transport Truckers,,v,,Downtown Druggies,TWU Stadium,,,0
,,Newcastle United Gunners,,v,,Bondi Wet Sox,The Armoury,,,0
,,Punters,,v,,Miami Monsters,TAB Stadium,,,0
,,Rocket Scientists,,v,,MacLaren's Dignoes,Elysium Fields,,,0
,,Liddle Rams,,v,,The XIII,The Meadow,,,0
,,London Werewolves,,v,,Coolangatta Cougars,Full Moon Stadium,,,0
,,,,,,,,,,0
,ROUND 13,,,,,,,,,0
,,MacLaren's Dignoes,,v,,Coal Miners,Lillyfield Rectangle,,,0
,,Liddle Rams,,v,,Punters,The Meadow,,,0
,,Bondi Wet Sox,,v,,Coolangatta Cougars,Bondi Beach Pavilion,,,0
,,London Werewolves,,v,,CB Transport Truckers,Full Moon Stadium,,,0
,,Oxford United Boxes,,v,,The XIII,Fragile Stadium,,,0
,,Rocket Scientists,,v,,Downtown Druggies,Elysium Fields,,,0
,,Newcastle United Gunners,,v,,Miami Monsters,The Armoury,,,0
,,,,,,,,,,0
,ORIGIN I,,,,,,,,,0
,,,,,,,,,,0
,ROUND 14,,,,,,,,,0
,,Miami Monsters,,v,,Liddle Rams,Monster Arena,,,0
